,x,y
삼성,37.510289,127.117024
역삼,37.511358,127.114276
서초,37.515261,127.113569
방배,37.513524,127.109971
낙성대,37.515763,127.132181
서울대입구,37.506498,127.091388
봉천,37.503175,127.095477
신림,37.449298,127.090878
신대방,37.502913,127.089247
구로디지털단지,37.506647,127.093904
문래,37.501473,127.101271
신촌,37.504247,127.105601
이대,37.507409,127.103232
아현,37.501737,127.098566
용답,37.506936,127.108119
신답,37.50101,127.114575
도림천,37.505796,127.117623
양천구청,37.500077,127.112449
신정네거리,37.503324,127.115816
용두,37.507293,127.111658
지축,37.504495,127.134721
구파발,37.502123,127.133819
녹번,37.504517,127.127372
무악재,37.51105,127.093994
독립문,37.503981,127.086217
경복궁,37.516418,127.072957
안국,37.507656,127.084931
동대입구,37.509526,127.08241
금호,37.509716,127.083995
압구정,37.506385,127.081394
신사,37.506254,127.088694
잠원,37.505325,127.080798
남부터미널,37.484325,127.1306
매봉,37.485746,127.13309
대치,37.481522,127.141276
학여울,37.477486,127.127262
대청,37.52975,127.114631
일원,37.5448659,126.8647285
당고개,37.5368885,126.8643811
상계,37.5363794,126.8864324
쌍문,37.5249481,126.8678678
수유,37.5241644,126.8703368
미아,37.54972818,126.8641752
미아사거리,37.5360848,126.8787178
길음,37.5360714,126.8317051
한성대입구,37.5211999,126.843512
혜화,37.5263732,126.8463283
명동,37.5206679,126.8417249
회현,37.517045,126.8404597
숙대입구,37.5269646,126.8560793
신용산,37.5265194,126.8520834
남태령,37.5149985,126.8725405
남영,37.5217038,126.8564911
노량진,37.5131601,126.8605838
대방,37.523184,126.891845
영등포,37.535542,126.902427
서빙고,37.534846,126.902264
한남,37.492568,126.9036604
응봉,37.488724,126.902996
외대앞,37.49100318,126.9076485
신이문,37.493751,126.895409
월계,37.494474,126.898262
녹천,37.4949747,126.896868
개포동,37.514372,126.893816
대모산입구,37.517359,126.892984
양원,37.517425,126.8964798
구리,37.5146657,126.8984728
도농,37.512286,126.924777
양정,37.5117464,126.916771
덕소,37.506318,126.901893
도심,37.5257692,126.887188
팔당,37.537202,126.8971124
운길산,37.5399348,126.8942845
양수,37.547045,126.89034
신원,37.542632,126.899763
국수,37.5199093,126.9317832
아신,37.521033,126.934298
오빈,37.5200985,126.9287872
양평(경의중앙선),37.5194119,126.938589
원덕,37.524619,126.926822
용문,37.517311,126.9132052
서울(경의중앙선),37.518091,126.913976
신촌(경의중앙선),37.5190267,126.9048646
서강대,37.524242,126.904705
가좌,37.5454732,126.973901
수색,37.537093,126.9688
화전,37.5270638,127.002441
행신,37.530555,126.9973901
능곡,37.5344094,126.9516519
곡산,37.5548366,126.968776
백마,37.55322,126.964747
풍산,37.535262,126.955604
일산,37.541873,126.987162
탄현,37.534914,126.963302
야당,37.535936,126.962105
운정,37.53447,126.9603396
금릉,37.532734,126.952116
금촌,37.5178481,126.972961
월롱,37.5177911,126.970744
파주,37.515501,126.980142
문산,37.51868,126.980669
신내,37.527295,126.954221
갈매,37.5368639,126.988708
별내,37.531482,126.9967191
퇴계원,37.534998,126.9474629
사릉,37.546397,126.9673825
금곡,37.5441271,126.966749
평내호평,37.549856,126.969205
천마산,37.5318558,126.9708042
마석,37.5314944,126.9691335
대성리,37.5321357,126.9697278
청평,37.5250734,126.9689153
상천,37.529701,126.964382
가평,37.5357289,127.000959
굴봉산,37.542397,127.002651
백양리,37.534208,127.010074
강촌,37.548541,126.9775474
춘천,37.61720757,126.9095009
봉명,37.6142152,126.9172354
쌍용(나사렛대),37.61535009,126.9152254
아산,37.61815075,126.9180053
배방,37.61752452,126.9135854
온양온천,37.61351208,126.9083881
신창,37.60759493,126.9135598
선바위,37.60385832,126.9346336
경마공원,37.61685241,126.9208672
대공원,37.61813875,126.9206334
과천,37.61704117,126.9218046
정부과천청사,37.61097566,126.937545
인덕원,37.61233716,126.9286683
평촌,37.62164882,126.9261334
범계,37.62057616,126.9250953
삼동,37.61633833,126.9257566
경기광주,37.61794307,126.9238758
초월,37.62008512,126.9216361
곤지암,37.60112098,126.9130649
신둔도예촌,37.59281423,126.9063122
이천,37.59960971,126.9074699
부발,37.60483507,126.9181753
세종대왕릉,37.5992858,126.9153452
구로,37.61731545,126.9232279
금천구청,37.58529456,126.9184918
석수,37.58703964,126.9201423
관악,37.59356018,126.9168663
안양,37.64022921,126.9173796
명학,37.64263567,126.9174581
군포,37.63433061,126.9266083
의왕,37.64447119,126.9250688
화서,37.5794546,126.9865961
독산,37.5696596,126.9858854
세류,37.5762365,126.9721533
병점,37.5795006,126.9686067
세마,37.572998,126.974129
오산대,37.5831251,127.0038124
오산,37.583226,127.0024241
진위,37.5845216,126.9994393
송탄,37.5826026,126.9988185
서정리,37.5870648,126.9817838
지제,37.5836633,126.9696306
평택,37.5704416,126.9761633
성환,37.5783768,127.0019092
직산,37.5767422,126.9908726
두정,37.5827874,126.9893146
천안,37.571382,126.987018
당정,37.5705109,126.9891149
서동탄,37.5731588,127.0075689
광명,37.5725457,127.0049541
산본,37.5714029,127.0065202
대야미,37.5712222,127.0109635
반월,37.5722914,127.0125467
상록수,37.5758342,127.0050201
한대앞,37.6115849,126.9747534
중앙,37.606939,126.9659481
고잔,37.5779024,126.9674967
초지,37.5771138,126.969431
안산,37.5750081,126.9619249
신길온천,37.5819971,127.001588
정왕,37.585738,127.0006028
수리산,37.6001185,126.9585083
개봉,37.5641152,127.0083352
오류동,37.5611268,126.9776332
역곡,37.5608094,126.9765577
부천,37.5575147,126.9733873
송내,37.5581346,126.9730743
백운,37.5589722,126.9749032
동암,37.5586687,126.9858692
제물포,37.5636992,126.9857659
